n2000code:text	name:text	authority:text	eunisurl:url
A348	Corvus frugilegus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/992
A349	Corvus corone	Linnaeus, 1758	http://eunis.eea.europa.eu/species/991
A350	Corvus corax	Linnaeus, 1758	http://eunis.eea.europa.eu/species/990
A351	Sturnus vulgaris	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1292
A352	Sturnus unicolor	Temminck, 1820	http://eunis.eea.europa.eu/species/1291
A353	Sturnus roseus	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1290
A354	Passer domesticus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1185
A355	Passer hispaniolensis	(Temminck, 1820)	http://eunis.eea.europa.eu/species/1186
A356	Passer montanus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/1187
A357	Petronia petronia	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1197
A358	Montifringilla nivalis	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1147
A359	Fringilla coelebs	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1048
A360	Fringilla montifringilla	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1050
A361	Serinus serinus	(Linnaeus, 1766)	http://eunis.eea.europa.eu/species/1268
A362	Serinus citrinella	(Pallas, 1764)	http://eunis.eea.europa.eu/species/1267
A363	Carduelis chloris	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/945
A364	Carduelis carduelis	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/944
A365	Carduelis spinus	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/948
A366	Carduelis cannabina	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/943
A367	Carduelis flavirostris	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/947
A368	Carduelis flammea	(Linnaeus, 1758)	http://eunis.eea.europa.eu/species/946
A369	Loxia curvirostra	Linnaeus, 1758	http://eunis.eea.europa.eu/species/1123
A370	Loxia pytyopsittacus	Borkhausen, 1793	http://eunis.eea.europa.eu/species/1124
